,length_url,length_domain,ip_address,number_of_hyphens,number_of_dots,number_of_dollar_sign,length_path
0,180.0,15.0,0.0,5.0,3.0,0.0,1.0
1,35.0,20.0,0.0,4.0,4.0,0.0,1.0
2,23.0,12.0,0.0,3.0,1.0,0.0,189.0
3,68.0,20.0,0.0,6.0,2.0,0.0,19.0
4,91.0,12.0,0.0,8.0,2.0,0.0,57.0
5,23.0,16.0,0.0,3.0,1.0,0.0,13.0
6,37.0,36.0,0.0,3.0,2.0,0.0,21.0
7,40.0,21.0,0.0,3.0,3.0,0.0,103.0
8,86.0,25.0,0.0,4.0,1.0,0.0,38.0
9,127.0,9.0,0.0,8.0,3.0,0.0,21.0
10,24.0,22.0,0.0,3.0,1.0,0.0,12.0
11,47.0,22.0,0.0,5.0,2.0,0.0,25.0
12,22.0,52.0,0.0,3.0,1.0,0.0,21.0
13,65.0,18.0,0.0,3.0,4.0,0.0,35.0
14,63.0,11.0,0.0,3.0,2.0,0.0,1.0
15,125.0,14.0,0.0,4.0,2.0,0.0,110.0
16,30.0,13.0,0.0,3.0,2.0,0.0,1.0
17,289.0,11.0,0.0,4.0,1.0,0.0,28.0
18,64.0,24.0,0.0,5.0,1.0,0.0,25.0
19,39.0,21.0,0.0,5.0,2.0,0.0,57.0
20,54.0,15.0,0.0,6.0,2.0,0.0,8.0
21,69.0,12.0,0.0,4.0,2.0,0.0,44.0
22,33.0,16.0,0.0,5.0,2.0,0.0,29.0
23,51.0,19.0,0.0,5.0,1.0,0.0,8.0
24,38.0,13.0,0.0,3.0,1.0,0.0,28.0
25,61.0,17.0,0.0,5.0,1.0,0.0,38.0
26,253.0,16.0,0.0,8.0,2.0,1.0,10.0
27,60.0,22.0,0.0,3.0,3.0,0.0,44.0
28,26.0,20.0,0.0,3.0,1.0,0.0,1.0
29,58.0,12.0,0.0,6.0,3.0,0.0,18.0
30,63.0,25.0,0.0,5.0,1.0,0.0,11.0
31,71.0,31.0,0.0,5.0,2.0,0.0,23.0
32,213.0,58.0,0.0,7.0,11.0,0.0,120.0
33,63.0,17.0,0.0,3.0,2.0,0.0,1.0
34,62.0,16.0,0.0,6.0,3.0,0.0,36.0
35,299.0,29.0,0.0,7.0,15.0,0.0,7.0
36,28.0,24.0,0.0,3.0,2.0,0.0,108.0
37,38.0,15.0,0.0,4.0,2.0,0.0,124.0
38,32.0,11.0,0.0,4.0,2.0,0.0,14.0
39,80.0,21.0,0.0,5.0,1.0,0.0,1.0
40,30.0,18.0,0.0,3.0,1.0,0.0,17.0
41,53.0,22.0,0.0,4.0,2.0,0.0,1.0
42,37.0,24.0,0.0,5.0,2.0,0.0,1.0
43,30.0,15.0,0.0,2.0,3.0,0.0,35.0
44,37.0,27.0,0.0,3.0,3.0,0.0,21.0
45,44.0,19.0,0.0,5.0,2.0,0.0,49.0
46,44.0,16.0,0.0,4.0,1.0,0.0,35.0
47,115.0,10.0,0.0,8.0,3.0,0.0,16.0
48,49.0,41.0,0.0,4.0,2.0,0.0,1.0
49,30.0,12.0,0.0,4.0,3.0,0.0,10.0
50,62.0,34.0,0.0,3.0,3.0,0.0,21.0
51,24.0,24.0,0.0,3.0,2.0,0.0,45.0
52,67.0,21.0,0.0,3.0,3.0,0.0,20.0
53,55.0,23.0,0.0,5.0,2.0,0.0,32.0
54,114.0,17.0,0.0,3.0,5.0,0.0,17.0
55,56.0,12.0,0.0,4.0,2.0,0.0,13.0
56,24.0,18.0,0.0,3.0,1.0,0.0,58.0
57,42.0,14.0,0.0,5.0,1.0,0.0,1.0
58,324.0,11.0,0.0,6.0,3.0,0.0,40.0
